[0.00 - 2.00]  aquí
[259.60 - 267.60]  generado empleo por la parte económica la calidad y la retribución de esos empleos no lo sé pero sí
[267.60 - 272.60]  es seguro que se generan empleos ya sea en chile o en otro lugar con la generación de bonos de
[272.60 - 278.60]  carbono esta generación de empleo principalmente es para el monitoreo y el cuidado de los terrenos
[278.60 - 283.60]  así que ahí también se involucra la comunidad beneficiosamente pero como te digo hay mucho que
[283.60 - 288.60]  revisar porque la calidad de los pagos las condiciones laborales de las cuales estas personas
[288.60 - 298.60]  se encuentran no lo manejo y que beneficio recibido no lo sé tú tienes algunos ejemplos en donde se
[298.60 - 304.60]  le ha pagado comunidades no me acuerdo si eran acá locales o fuera pero como te comentaba hay que
[304.60 - 311.60]  tener mucho ojo en pensar que es beneficioso solo que se le pague a las comunidades porque hay que
[311.60 - 316.60]  ver si es que se le paga a toda la comunidad que participa y participó en la elaboración de un
[316.60 - 325.60]  y si es que las condiciones laborales son adecuadas para las personas que trabajan y que trabajaron en la
[325.60 - 327.60]  elaboración del bono
[331.60 - 333.60]  si si eso es verdad
[334.60 - 342.60]  otra pregunta más es que criterios deberían ser prioritarios al seleccionar proyectos para bonos de
[342.60 - 348.60]  carbono en chile considerando tanto la viabilidad económica como el impacto social y ambiental
[348.60 - 350.60]  a ver
[352.60 - 357.60]  bueno lo primero si lo queremos ver desde el punto económico tenemos que ver que los costos no sean
[357.60 - 363.60]  excesivamente altos por eso también va a haber un problema porque Chile lo que quiere hacer es una
[363.60 - 369.60]  certificación local para generar bonos de carbono en el mercado voluntario y acá vamos a tener el
[369.60 - 374.60]  problema de que si esa certificación local no es lo excesivamente exigente alineada con los
[374.60 - 380.60]  estándares internacionales no vamos a poder exportar esos bonos y probablemente vamos a tener que
[380.60 - 386.60]  quedarnos en el mercado local vendiendo los bonos e ir exportándolos internamente pero si es que esa
[386.60 - 392.60]  certificación local existe probablemente también va a ser más barata que las certificaciones que te
[392.60 - 398.60]  dan internacionalmente entonces ahí vamos a tener que buscar el punto de equilibrio entre qué tan
[398.60 - 400.60]  homogénea o qué tan
[404.60 - 412.60]  cuánto cuánto va a conversar la normativa local o la certificación local versus las internacionales
[412.60 - 421.60]  para poder exportar y el otro lado va a jugar el costo que tenga certificar un bono local
[421.60 - 428.60]  entonces el costo del proyecto es esencial lo vamos a saber cuando las cosas están un poco más cerradas
[428.60 - 437.60]  yo sé que ahí se han emitido bonos y ya pero pero se están haciendo cambios en la normativa entonces
[437.60 - 443.60]  cuando esté más desarrollado más maduro el mercado chileno vamos a tener menos incertidumbre respecto
[443.60 - 449.60]  a precios costos entonces el costo principal por el ámbito económico por el ámbito ambiental
[449.60 - 456.60]  climático lo esencial es que efectivamente el proyecto que se ha catalogado como bono de carbono
[456.60 - 464.60]  reduzca significativamente las emisiones las compenses en realidad el bono de carbono lo que hace es
[464.60 - 476.60]  se vende una tonelada de co2 que se extrae de la atmósfera estratosfera lo que sea se extrae aquí del medio ambiente
[476.60 - 485.60]  y se retiene y eso es lo que se vende entonces es que somos capaces de que demostremos medio ambientalmente
[485.60 - 494.60]  de que nuestros bonos nacionales están compensando lo suficiente va a ser un plus pero para eso tenemos que
[494.60 - 503.60]  tenemos que tener un orden en materia de gobernanza me refiero cuando se elabora el proyecto y se mida
[503.60 - 510.60]  y se verifica el proyecto y también tenemos que ser bastantes en el ámbito de carbono
[511.60 - 514.60]  y también tenemos que ser bastantes
[515.60 - 520.60]  y de dignos con la información que reportamos entonces también tenemos que tener mucho control
[520.60 - 527.60]  con el material social en esos criterios el criterio de materia social en materia social son súper importantes también
[527.60 - 535.60]  porque hay que hay que beneficiar a las comunidades como al final como te comentaba las comunidades indígenas
[536.60 - 543.60]  son quienes tienen gran parte de los terrenos en chile en realidad puede que sean los de la ciudad y pueden ser privados
[543.60 - 549.60]  pero las comunidades indígenas sí tienen gran parte no sé si la mayor parte pero tienen gran parte de terrenos en chile
[549.60 - 560.60]  y son al final del día quienes saben cuidar mejor la naturaleza entonces hay que tener ojo con que los beneficios
[560.60 - 565.60]  ya sea el monetario medio ambientales también lleguen a esas comunidades
[570.60 - 573.60]  vamos a avanzar con la otra pregunta que es
[575.60 - 580.60]  es más o menos de lo que hemos conversado que cómo influye la falta de un estándar global
[581.60 - 589.60]  esto ya terminó mundial en bonos de carbono la credibilidad y la efectividad y esto visto desde la óptica de chile
[591.60 - 599.60]  claro muy parecido a lo que ya conversamos que el estándar global te ayuda a comparar te ayuda a
[599.60 - 607.60]  estandarizar todo para que todo sea medible de la misma manera entonces el no tenerlo dificultaría todas las partes
[607.60 - 616.60]  si es que nuestro interés nacional ya sea el gobierno estatal al pasar de los años es que crezca el mercado de
[616.60 - 623.60]  bonos de carbono internamente y que nos dediquemos a transarlos internamente quizá no sea necesario que
[623.60 - 629.60]  nos queramos comparar con estándares internacionales pero lo que suele pasar es que empresas las empresas más
[629.60 - 637.60]  grandes están fuera de chile la más contaminantes están fuera y son esas empresas las que están más interesadas
[638.60 - 647.60]  somos capaces de nosotros de llegar a esa empresa vamos a poder subir el precio de los bonos de carbono
[649.60 - 656.60]  y además vamos a poder seguir aumentando la cantidad de hectáreas de cuidado medioambiental
[658.60 - 666.60]  hay que tener el ojo pues va a depender de lo que queramos como país de lo que quiera el mercado pero yo creo que es súper importante alinearse desde ya
[667.60 - 674.60]  o intentar alinearse desde ya con los estándares intentando mantener las proporciones de los costos
[675.60 - 684.60]  la siguiente pregunta es que medidas considera necesarias para garantizar que los proyectos de bonos de carbono en chile se
[684.60 - 689.60]  implementen de manera justa y beneficien directamente a las comunidades
[689.60 - 692.60]  y
[692.60 - 695.60]  y
[695.60 - 698.60]  y complejo
[698.60 - 703.60]  como te comentaba muchas veces relacionados a este
[703.60 - 709.60]  se tiene que se tiene que generar una estructura de normativas que
[709.60 - 715.60]  una buena gobernanza en la cual haya
[716.60 - 722.60]  y que capacite no en realidad que no es que capacite es que facilite
[723.60 - 726.60]  el
[726.60 - 733.60]  facilite el control y monitoreo de quien realiza el proyecto sobre las comunidades
[733.60 - 741.60]  entonces a qué me refiero que bueno lo que sí falta es normativa o lo que sí falta probablemente
[741.60 - 749.60]  es no sé un plan de acción más aterrizado pero falta información al respecto materia regulatoria
[751.60 - 762.60]  en algunos límites que hay que ver en donde cómo lo vamos no sé si es que el futuro se piensa llegar a un mercado obligatorio y
[762.60 - 771.60]  después dejar el mercado secundario pero faltan cosas todavía entonces yo creo que en materia regulatoria nos va a ayudar mucho de que
[771.60 - 782.60]  internormas o distinto distintas leyes armen un esqueleto en el cual las mismas empresas que están generando estos fonos
[782.60 - 791.60]  sean capaces de monitorear y controlar todos esos beneficios sociales que pueda obtener la comunidad
[791.60 - 802.60]  que me refiero es que el gobierno no tiene el tamaño el estado en realidad no tiene el tamaño para controlar todas estas cosas ellos generalmente
[802.60 - 811.60]  pueden poner normas y regulaciones la cual obliga a no sé establecer consulta previa a la comunidad de
[811.60 - 822.60]  comunidades o que se ha ido una distribución equitativa o que las comunidades negociar y contratos que hay no sé
[822.60 - 831.60]  pueden haber mil cosas normativas y leyes que el estado puede lograr sacar pero el control de todo esto es súper complejo
[831.60 - 843.60]  entonces a mí me gusta mucho la idea de la autorregulación entonces si un set del normas o leyes están dispuestas para el mercado de bonos de carbono
[843.60 - 854.60]  el cual impulsen la autorregulación de la empresa considerando a las comunidades eso va a ayudar mucho al control y la fiscalización
[854.60 - 867.60]  entonces si nosotros queremos garantizar que los proyectos realmente no se consideran las comunidades cada vez que van a bonos o que no tomen medidas de
[867.60 - 884.60]  de represión o media no quiero decir palabras que puedan comprometerme pero tipo de medidas que de repente usan para persuadir a las comunidades
[884.60 - 899.60]  ya podríamos tener toda esa normativa dando vuelta pero si es que una gran estructura de armas para que las mismas empresas puedan autorregularse en ese sentido
[899.60 - 909.60]  y garantizar que ellos están considerando todas esas cosas y después el estado viene a controlar la medida de autorregulación podría simplificar mucho más las cosas
[909.60 - 921.60]  y seríamos capaces de garantizar más eficientemente que se está beneficiando la comunidad en muchos aspectos ya porque pueden haber medidas para todo y leyes para todos
[921.60 - 935.60]  que te apunten a tener beneficios para todo pero de hecho yo creo que la idea de la autorregulación es mucho más simple porque es fácil no cumplir alguna ley o alguna norma
[935.60 - 954.60]  claro si también si eso es verdad bueno la siguiente pregunta es cómo percibe la participación y el impacto de las comunidades en cuanto a la toma de decisiones dentro de los proyectos de bonos de carbono
[954.60 - 962.60]  al final hay participación si es que están ahí más o menos para allá
[962.60 - 984.60]  y mira aquí yo desconozco en realidad los que he leído en la noticia aparecen que sí hay comunidades que están participando pero que hay una estructura detrás de los proyectos mismos que obligan al dueño del proyecto a consultar a las comunidades
[984.60 - 1004.60]  pero si he leído en las noticias que hay comunidades participando en distintos proyectos de bonos de carbono asumiría que sí no sé si es por pura bondad que los están incluyendo en la mayoría de las noticias que he leído pero se me hace que no
[1004.60 - 1011.60]  hasta donde yo sé ya porque no tengo mucha información respecto a que tanto está participando
[1011.60 - 1014.60]  lo ves como medio difuso ahí
[1014.60 - 1020.60]  si sobre todo en Chile donde está nuevo todo
[1020.60 - 1035.60]  y bueno la penúltima pregunta es el papel que podría jugar el mercado de los bonos de carbono en el cumplimiento de las metas climáticas para Chile las primeras que son del 2030
[1035.60 - 1051.60]  la idea es que esto ayude a reducir la emisión es lo principal el problema es cuando
[1051.60 - 1056.60]  cuando existen empresas que están
[1056.60 - 1064.60]  están contaminando más y después están intentando compensar más entonces
[1064.60 - 1069.60]  siempre se genera la discusión sobre todo en los mercados obligatorios como que
[1069.60 - 1075.60]  los permisos de contaminación y muchas veces los permisos de contaminación son muy altos
[1075.60 - 1081.60]  juega con sus bonos y los mueve de un lado hacia otro
[1081.60 - 1089.60]  entonces claro tiene sus problemas que son esas desviaciones de mercado que uno intenta evitar pero siempre surgen
[1089.60 - 1096.60]  pero la idea es que el mercado de bonos de carbono reduzca las emisiones con todos los
[1096.60 - 1105.60]  perdón con todas las metas que se tiene en Chile para el 2030 que reducir alrededor de un 30% de las emisiones si no equivoco
[1105.60 - 1117.60]  entonces la idea es que esto suceda pero entre todo lo que conversamos muchas cosas también y algo que no mencionaba es que es súper importante el precio social del carbono
[1117.60 - 1125.60]  ah perdón el precio social del carbono no porque ese ya está alto es el impuesto al carbono entonces
[1125.60 - 1133.60]  si tenemos el impuesto al carbono tan bajo constantemente toda esta cosa todo este mercado que estamos hablando no va a servir para nada porque las empresas
[1133.60 - 1143.60]  prefieren mil veces pagar lo que cuesta el impuesto versus lo que cuesta un bono que hoy día se están lanzando como no sé en 60 y tantos
[1143.60 - 1159.60]  no perdón eso era otro dato que dije pero había visto lanzándose alrededor de 17 si no equivoco que no me voy a escorregir pero son mucho mucho más caros de lo que tenemos hoy en día
[1159.60 - 1168.60]  el impuesto al carbono entonces si no sube ese impuesto toda esta cuestión que estamos haciendo no va a servir de nada porque no vamos a bajar las emisiones
[1168.60 - 1173.60]  porque es más fácil seguir contaminando y bajando el impuesto que compensar tu emisión
[1173.60 - 1184.60]  claro y no el precio si está bien va por los 60 dólares en los mercados obligatorios de 60 hacia arriba
[1184.60 - 1190.60]  si que se me confunden los números de repente aquí si el precio social es de 65
[1190.60 - 1208.60]  y la última pregunta es qué oportunidades ves tú en el ámbito de las finanzas verdes y los mercados del carbono en el abordaje del cambio climático no sé si hay algo que no hayamos abordado en esta parte
[1208.60 - 1227.60]  si a ver mira yo creo que a ver para finanzas verdes está todo a favor esto uno podría hacer carrera fácilmente solo en bonos de carbono porque los proyectos son bastante largos
[1227.60 - 1243.60]  un programa podría fácilmente participar en todas las etapas de bonos mientras que otra persona solo dedica a transar a comprar y vender bonos en el estudio base a los bonos de carbono
[1243.60 - 1262.60]  podría dedicarse tu carrera también a hacer eso y va a impactar el cambio climático entonces hay espacio en las finanzas verdes en el mercado laboral al menos en relación con los bonos
[1262.60 - 1275.60]  pero en otros aspectos este mercado también permite que hayan que hayan financiamiento por ejemplo
[1275.60 - 1297.60]  a algún proyecto que sea para no sé para emitir bonos de carbono en 10.000 hectáreas y eso va a significar financiar a las comunidades indígenas que viven allí por lo que vaya a generar un impacto social enorme
[1297.60 - 1308.60]  y además va a dar un carácter significativo al cuidado medioambiental que probablemente vaya a sacarse a los que tengan que desactuar y despegarse
[1308.60 - 1320.60]  entonces vaya a generar un montón de proyectos medioambientalmente positivos y socialmente positivos y esperamos que eso también vaya directo a las comunidades indígenas no solo las comunidades en sí pero
[1320.60 - 1341.60]  también si nos dedicamos a hablar de la tecnología el avance de la tecnología por ejemplo la inteligencia artificial puede operar en y puede entrar al juego con el tema de los bonos de carbono
[1341.60 - 1355.60]  puede simplificar muchísimas tareas puede hacerlo todos los procesos menos burocráticos ya en la materia de control la mediciones el que proyecciones cachay la detección de incendios lo mismo que otra vez
[1355.60 - 1372.60]  entonces todo eso ayudaría a tener bonos de calidad lo cual en el día todo termina contribuyendo a la mitigación del cambio climático y eso es todo
[1372.60 - 1377.60]  ya perfecto muchas gracias
[1377.60 - 1380.60]  voy a parar la grabación
